,218
MgH,2.39632400216574e+22
MgH[v=1],6.205291067035512e+19
MgH[v=2],3.00250545542296e+19
MgH[v=3],1.7752436214170495e+19
MgH[v=4],1.0525880112479357e+19
MgH[v=5],5.839591133583118e+18
MgH[v=6],2.9016449774148163e+18
MgH[v=7],1.2814922121142538e+18
MgH[v=8],4.984563585373935e+17
MgH[v=9],5.839591133583118e+18
MgH[v=10],2.9016449774148163e+18
MgH[v=11],1.2814922121142538e+18
MgH[X(2SIGMA+)],3.5863480739523354e+17
MgH[A(2PI)],2.0934403731434262e+17
MgH[B'(2SIGMA+)],1.4242702962898827e+17
e,839899153456392.0
T_n,300.52915127540774
p,100.00001312304944
Pext,100.0
T_e,1.2152070766534375
t,1.0
