ID,molecule,iso-slug,formula,dataset,Tmax,mass,abundance,Main column,Main format,QN label,QN format
1,AlCl,27Al-35Cl,(27Al)(35Cl),YNAT,5000,61.950391,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
2,AlCl,27Al-37Cl,(27Al)(37Cl),YNAT,5000,63.947441,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%8d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
3,AlH,27Al-1H,(27Al)(1H),AloHa,5000,27.989363,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%9d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
4,AlO,26Al-16O,(26Al)(16O),ATP,9000,41.981806,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%10d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
5,AlO,27Al-16O,(27Al)(16O),ATP,9000,42.976453,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%11d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
6,AlO,27Al-17O,(27Al)(17O),ATP,9000,43.98067,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%12d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
7,AlO,27Al-18O,(27Al)(18O),ATP,9000,44.980698,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%13d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
8,BeH,9Be-1H,(9Be)(1H),Darby-Lewis,5000,10.020008,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%14d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
9,BeH,9Be-2H,(9Be)(2H),Darby-Lewis,5000,11.026285,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%15d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
10,C2,12C2,(12C)2,8states,10000,24,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%16d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega,Fi,N","%1s,%1s,%12s,%3d,%5d,%5d,%5d,%4s,%5d"
11,C2H2,12C2-1H2,(12C)2(1H)2,aCeTY,5000,26.01565,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%17d","Grve,K,e/f","%3s,%3d,%1s"
12,C3,12C-12C-13C,(12C)(12C)(13C),AtLast,5000,37.003355,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%18d","Grve,v1,v2,l2,v3","%3s,%2d,%2d,%2d,%2d"
13,C3,12C-13C-12C,(12C)(13C)(12C),AtLast,5000,37.003355,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%19d","Grve,v1,v2,l2,v3","%3s,%2d,%2d,%2d,%2d"
14,C3,12C3,(12C)3,AtLast,5000,36,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%20d","Grve,v1,v2,l2,v3","%3s,%2d,%2d,%2d,%2d"
15,CH4,12C-1H4,(12C)(1H)4,MM,5000,16.0313,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%21d","Grve,n1,n2,L2,n3,L3,M3,n4,L4,M4","%3s,%6d,%4d,%4d,%4d,%4d,%4d,%4d,%4d,%4d"
